geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,2503305.0,54935,16691,19332,8929,9983,14100,15824,13534,11477,11302,19470,19390,4773,126281,54935,16691,19332,8929,9983,14098,15826,13534,11477,11301,19471,19390,4773,126276,0,0,0,0,0,-2,2,0,0,-1,1,0,0,-5
PUMA,2503306.0,41170,13055,12816,6287,9012,13800,13702,8907,4761,10660,15161,11265,4084,99107,41170,13053,12816,6285,9016,13801,13703,8907,4759,10658,15163,11266,4083,99124,0,-2,0,-2,4,1,1,0,-2,-2,2,1,-1,17
PUMA,2503400.0,59576,17298,20811,9865,11602,12686,11437,11182,24271,12303,21481,21528,4264,137925,59576,17298,20812,9866,11600,12683,11437,11180,24276,12303,21483,21526,4264,137924,0,0,1,1,-2,-3,0,-2,5,0,2,-2,0,-1
PUMA,2503500.0,38707,8627,12200,6608,11272,6313,7374,8077,16943,9999,13866,11852,2990,101821,38707,8627,12197,6607,11276,6308,7375,8077,16947,10000,13867,11850,2990,101846,0,0,-3,-1,4,-5,1,0,4,1,1,-2,0,25
PUMA,2503601.0,48664,11595,15369,8648,13052,9285,11832,13249,14298,9678,16932,17445,4609,124802,48664,11594,15364,8647,13059,9281,11834,13247,14302,9678,16933,17442,4611,124835,0,-1,-5,-1,7,-4,2,-2,4,0,1,-3,2,33
PUMA,2503602.0,47891,14404,15507,7766,10214,12270,12938,13131,9552,11513,17121,14890,4367,117683,47891,14405,15505,7767,10214,12268,12938,13131,9554,11509,17126,14889,4367,117674,0,1,-2,1,0,-2,0,0,2,-4,5,-1,0,-9
PUMA,2503603.0,53549,19016,17466,7571,9496,15393,14768,13888,9500,13563,20211,15511,4264,120760,53549,19016,17462,7573,9498,15386,14773,13885,9505,13566,20215,15509,4259,120763,0,0,-4,2,2,-7,5,-3,5,3,4,-2,-5,3
PUMA,2503900.0,55838,17767,17875,8395,11801,13670,15166,13936,13066,12670,21400,17553,4215,137484,55838,17766,17875,8393,11804,13670,15165,13935,13068,12668,21403,17552,4215,137506,0,-1,0,-2,3,0,-1,-1,2,-2,3,-1,0,22
PUMA,2504000.0,46886,11995,16722,7449,10720,16774,14662,9866,5584,14383,15368,12179,4956,124847,46886,11997,16726,7448,10715,16771,14659,9871,5585,14379,15369,12180,4958,124820,0,2,4,-1,-5,-3,-3,5,1,-4,1,1,2,-27
PUMA,2504200.0,49154,11625,18617,8776,10136,11466,15427,12013,10248,10853,16746,17373,4182,123027,49154,11624,18619,8777,10134,11462,15430,12015,10247,10854,16744,17375,4181,123021,0,-1,2,1,-2,-4,3,2,-1,1,-2,2,-1,-6
PUMA,2504301.0,42420,11497,16412,6969,7542,10791,12344,11187,8098,11936,13140,13971,3373,103159,42420,11496,16410,6971,7543,10788,12346,11188,8098,11938,13142,13969,3371,103161,0,-1,-2,2,1,-3,2,1,0,2,2,-2,-2,2
PUMA,2504302.0,46465,15388,16529,7811,6737,23412,12583,7434,3036,19570,15138,9655,2102,105742,46465,15389,16530,7812,6734,23415,12585,7432,3033,19570,15135,9657,2103,105740,0,1,1,1,-3,3,2,-2,-3,0,-3,2,1,-2
