OID_,FID_PUMAs2,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,FID_candidate_CTPS_TAZ_STATEWIDE_2019,OBJECTID_1,id,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,sector,Shape_Length,Shape_Area,REGION,TAZ,PUMA
274,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4869,4870,5411,I,SOUTHAMPTON,MA,"SOUTHAMPTON,MA",PVPC,0, ,16038.60113,,0.169819826,0.00111428,1,5411,2501600
275,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4870,4871,5409,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,19507.18321,,0.214821806,0.000881472,1,5409,2501600
276,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4871,4872,5327,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,29229.49911,,0.322481243,0.002135133,1,5327,2501600
277,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4873,4874,5410,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,9432.095563,,0.103748661,0.000392508,1,5410,2501600
278,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4875,4876,5401,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,6001.770356,,0.066048715,0.0001169,1,5401,2501600
279,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4876,4877,5400,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,6109.939516,,0.068113678,0.000119876,1,5400,2501600
280,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4877,4878,5399,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,4023.725101,,0.041097521,6.20393E-05,1,5399,2501600
281,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4878,4879,5330,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,13671.44526,,0.142474912,0.001018762,1,5330,2501600
282,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4879,4880,5415,I,EASTHAMPTON,MA,"EASTHAMPTON,MA",PVPC,0, ,5943.323708,,0.063435659,0.000171195,1,5415,2501600
285,1,25,1600,2501600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,G6120,S,1600246566,55932404,42.228012,-72.6072562,4882,4883,5430,I,NORTHAMPTON,MA,"NORTHAMPTON,MA",PVPC,0, ,2301.909919,,0.024295873,3.06936E-05,1,5430,2501600
