OID_,REGION,TAZ,PUMA
1074,1,58,2503302
1075,1,60,2503302
1076,1,46,2503302
1077,1,37,2503302
1081,1,25,2503302
1082,1,28,2503302
1084,1,481,2503302
1085,1,187,2503302
1086,1,186,2503302
1087,1,176,2503302
1088,1,191,2503302
1090,1,175,2503302
1091,1,173,2503302
1092,1,172,2503302
1094,1,124,2503302
1095,1,129,2503302
1097,1,26,2503302
1098,1,121,2503302
1099,1,312,2503302
1100,1,107,2503302
1101,1,116,2503302
1102,1,313,2503302
1103,1,314,2503302
1105,1,27,2503302
1106,1,198,2503302
1107,1,192,2503302
1108,1,22,2503302
1109,1,21,2503302
1110,1,29,2503302
1111,1,87,2503302
1112,1,89,2503302
1113,1,99,2503302
1114,1,102,2503302
1115,1,113,2503302
1116,1,119,2503302
1117,1,120,2503302
1118,1,130,2503302
1121,1,197,2503302
1122,1,193,2503302
1123,1,1,2503302
1124,1,2,2503302
1125,1,3,2503302
1126,1,79,2503302
1127,1,32,2503302
1128,1,92,2503302
1129,1,90,2503302
1130,1,98,2503302
1131,1,100,2503302
1132,1,101,2503302
1133,1,78,2503302
1134,1,83,2503302
1135,1,114,2503302
1136,1,115,2503302
1137,1,82,2503302
1138,1,20,2503302
1140,1,205,2503302
1142,1,203,2503302
1143,1,200,2503302
1144,1,196,2503302
1145,1,194,2503302
1146,1,4,2503302
1147,1,96,2503302
1148,1,97,2503302
1149,1,72,2503302
1151,1,206,2503302
1152,1,202,2503302
1153,1,204,2503302
1154,1,201,2503302
1155,1,195,2503302
1156,1,91,2503302
1157,1,71,2503302
1158,1,74,2503302
1159,1,73,2503302
1161,1,86,2503302
1162,1,31,2503302
1163,1,51,2503302
1164,1,61,2503302
1165,1,62,2503302
1166,1,13,2503302
1167,1,84,2503302
1168,1,48,2503302
1169,1,53,2503302
1170,1,55,2503302
1171,1,64,2503302
1172,1,67,2503302
1173,1,11,2503302
1174,1,12,2503302
1175,1,41,2503302
1179,1,54,2503302
1180,1,57,2503302
1181,1,56,2503302
1182,1,59,2503302
1183,1,68,2503302
1184,1,7,2503302
1185,1,35,2503302
1186,1,36,2503302
1187,1,45,2503302
1188,1,5,2503302
1189,1,34,2503302
1190,1,38,2503302
1191,1,39,2503302
1192,1,170,2503302
1193,1,180,2503302
1194,1,169,2503302
1195,1,168,2503302
1196,1,183,2503302
1197,1,182,2503302
1198,1,185,2503302
1199,1,184,2503302
1200,1,171,2503302
1201,1,174,2503302
1202,1,181,2503302
1203,1,179,2503302
1204,1,6,2503302
1205,1,10,2503302
1206,1,9,2503302
1207,1,8,2503302
1208,1,23,2503302
1209,1,40,2503302
1210,1,47,2503302
1211,1,44,2503302
1212,1,199,2503302
1213,1,480,2503302
1215,1,188,2503302
1216,1,189,2503302
1217,1,190,2503302
1218,1,451,2503302
1219,1,177,2503302
1220,1,178,2503302
1221,1,1083,2503603
1222,1,1127,2503603
1223,1,1125,2503603
1224,1,1090,2503603
1225,1,1112,2503603
1226,1,1088,2503603
1227,1,1118,2503603
1228,1,1120,2503603
1229,1,1116,2503603
1230,1,1091,2503603
1231,1,1115,2503603
1232,1,1121,2503603
1233,1,1114,2503603
1234,1,1113,2503603
1237,1,1126,2503603
1241,1,1124,2503603
1242,1,1128,2503603
1243,1,1082,2503603
1244,1,1123,2503603
