geography,id,HH_control,HH_result,HH_diff
TAZ,121,1072.0,1020,-52.0
TAZ,122,1498.0,1425,-73.0
TAZ,123,1352.0,1286,-66.0
TAZ,124,1533.0,1458,-75.0
TAZ,125,771.0,733,-38.0
TAZ,126,185.0,176,-9.0
TAZ,127,856.0,814,-42.0
TAZ,128,808.0,769,-39.0
TAZ,129,2.0,2,0.0
TAZ,133,1238.0,1238,0.0
TAZ,134,1269.0,1269,0.0
TAZ,135,1388.0,1388,0.0
TAZ,136,986.0,986,0.0
TAZ,137,506.0,506,0.0
TAZ,139,761.0,761,0.0
TAZ,140,305.0,305,0.0
TAZ,143,261.0,261,0.0
TAZ,144,302.0,302,0.0
TAZ,145,1045.0,1045,0.0
TAZ,147,941.0,941,0.0
TAZ,148,591.0,591,0.0
TAZ,150,239.0,239,0.0
TAZ,151,1505.0,1505,0.0
TAZ,152,1554.0,1554,0.0
TAZ,153,948.0,948,0.0
TAZ,154,1732.0,1732,0.0
TAZ,155,1358.0,1358,0.0
TAZ,156,1826.0,1826,0.0
TAZ,157,398.0,398,0.0
TAZ,158,1041.0,1041,0.0
TAZ,160,1167.0,1167,0.0
TAZ,161,1040.0,1040,0.0
TAZ,162,1625.0,1625,0.0
TAZ,163,1429.0,1429,0.0
TAZ,164,1608.0,1608,0.0
TAZ,165,1959.0,1959,0.0
TAZ,166,596.0,596,0.0
TAZ,167,3116.0,3116,0.0
TAZ,168,556.0,529,-27.0
TAZ,169,1208.0,1149,-59.0
TAZ,170,1500.0,1427,-73.0
TAZ,171,545.0,519,-26.0
TAZ,172,1640.0,1560,-80.0
TAZ,173,855.0,813,-42.0
TAZ,174,528.0,502,-26.0
TAZ,175,1782.0,1695,-87.0
TAZ,176,213.0,203,-10.0
TAZ,177,1332.0,1267,-65.0
TAZ,178,1390.0,1322,-68.0
TAZ,179,762.0,725,-37.0
TAZ,180,1948.0,1852,-96.0
TAZ,181,978.0,930,-48.0
TAZ,183,297.0,283,-14.0
TAZ,186,1090.0,1037,-53.0
TAZ,187,1565.0,1488,-77.0
TAZ,188,886.0,843,-43.0
TAZ,189,1123.0,1068,-55.0
TAZ,190,1575.0,1498,-77.0
TAZ,191,851.0,810,-41.0
TAZ,192,154.0,147,-7.0
TAZ,193,734.0,698,-36.0
TAZ,194,840.0,799,-41.0
TAZ,196,2760.0,2624,-136.0
TAZ,197,1916.0,1822,-94.0
TAZ,198,1283.0,1220,-63.0
TAZ,199,1196.0,1138,-58.0
TAZ,200,1289.0,1226,-63.0
TAZ,201,1775.0,1688,-87.0
TAZ,202,145.0,138,-7.0
TAZ,203,60.0,58,-2.0
TAZ,204,177.0,169,-8.0
TAZ,205,991.0,943,-48.0
TAZ,206,76.0,73,-3.0
TAZ,207,1208.0,1199,-9.0
TAZ,208,1256.0,1246,-10.0
TAZ,209,1033.0,1025,-8.0
TAZ,210,489.0,486,-3.0
TAZ,211,925.0,918,-7.0
TAZ,212,927.0,920,-7.0
TAZ,213,1337.0,1327,-10.0
TAZ,214,452.0,449,-3.0
TAZ,215,1010.0,1002,-8.0
TAZ,216,845.0,839,-6.0
TAZ,217,1150.0,1141,-9.0
TAZ,218,1776.0,1762,-14.0
TAZ,219,1178.0,1169,-9.0
TAZ,220,2563.0,2543,-20.0
TAZ,221,1207.0,1198,-9.0
TAZ,222,283.0,281,-2.0
TAZ,223,792.0,786,-6.0
TAZ,224,750.0,745,-5.0
TAZ,225,998.0,991,-7.0
TAZ,226,598.0,594,-4.0
TAZ,227,861.0,855,-6.0
TAZ,229,1266.0,1256,-10.0
TAZ,230,916.0,909,-7.0
TAZ,231,1432.0,1421,-11.0
TAZ,232,1887.0,1872,-15.0
TAZ,233,1414.0,1403,-11.0
TAZ,234,884.0,877,-7.0
TAZ,235,988.0,981,-7.0
TAZ,236,796.0,790,-6.0
TAZ,237,879.0,872,-7.0
TAZ,238,200.0,199,-1.0
TAZ,239,476.0,473,-3.0
TAZ,240,861.0,855,-6.0
TAZ,241,170.0,169,-1.0
TAZ,242,719.0,714,-5.0
TAZ,243,1126.0,1118,-8.0
TAZ,244,1752.0,1739,-13.0
TAZ,245,305.0,303,-2.0
TAZ,246,656.0,651,-5.0
TAZ,247,829.0,823,-6.0
TAZ,248,833.0,827,-6.0
TAZ,249,1389.0,1378,-11.0
TAZ,250,604.0,600,-4.0
TAZ,251,220.0,219,-1.0
TAZ,253,40.0,40,0.0
TAZ,254,102.0,102,0.0
TAZ,255,59.0,59,0.0
TAZ,256,556.0,552,-4.0
TAZ,257,805.0,799,-6.0
TAZ,258,388.0,385,-3.0
TAZ,259,942.0,935,-7.0
TAZ,260,576.0,572,-4.0
TAZ,261,853.0,847,-6.0
TAZ,262,973.0,966,-7.0
TAZ,264,755.0,1367,612.0
TAZ,265,1237.0,2241,1004.0
TAZ,266,1740.0,1727,-13.0
TAZ,267,622.0,618,-4.0
TAZ,268,1368.0,1358,-10.0
TAZ,269,1431.0,1420,-11.0
TAZ,270,1563.0,1551,-12.0
TAZ,271,1560.0,2825,1265.0
TAZ,272,389.0,705,316.0
TAZ,273,1368.0,1358,-10.0
TAZ,274,117.0,213,96.0
TAZ,275,520.0,516,-4.0
TAZ,276,376.0,374,-2.0
TAZ,277,787.0,1428,641.0
TAZ,278,4.0,4,0.0
TAZ,279,154.0,280,126.0
TAZ,280,85.0,155,70.0
TAZ,282,406.0,403,-3.0
TAZ,283,3.0,6,3.0
TAZ,284,190.0,313,123.0
TAZ,285,162.0,134,-28.0
TAZ,289,568.0,1031,463.0
TAZ,290,138.0,114,-24.0
TAZ,291,1331.0,2415,1084.0
TAZ,292,1811.0,1489,-322.0
TAZ,293,1638.0,2688,1050.0
