TAZ,PUMA,REGION
1055,2503602,1
411,2503305,1
372,2503304,1
366,2503304,1
364,2503303,1
134,2503303,1
140,2503303,1
142,2503303,1
4601,2504800,1
5492,2501900,1
4602,2504800,1
208054,4400104,1
208290,4400103,1
4748,2504800,1
208287,4400103,1
208119,4400103,1
4749,2504800,1
4730,2504800,1
4731,2504800,1
4729,2504800,1
4719,2504800,1
4770,2504800,1
4775,2504800,1
4774,2504800,1
4772,2504800,1
4613,2504800,1
4614,2504700,1
4621,2504700,1
4636,2504700,1
4782,2504800,1
208068,4400104,1
4769,2504800,1
4771,2504800,1
4713,2504700,1
208270,4400104,1
208269,4400104,1
208281,4400104,1
4714,2504700,1
4715,2504700,1
4716,2504700,1
4657,2504700,1
4655,2504700,1
4658,2504700,1
4625,2504700,1
208112,4400103,1
208285,4400103,1
4690,2504700,1
208113,4400103,1
5541,2501900,1
4624,2504700,1
4622,2504700,1
4629,2504700,1
4628,2504700,1
4603,2504800,1
4604,2504800,1
208294,4400103,1
208052,4400103,1
208292,4400103,1
208286,4400103,1
208278,4400103,1
208276,4400104,1
208118,4400103,1
208275,4400104,1
208280,4400104,1
208053,4400104,1
208104,4400104,1
208105,4400104,1
208761,4400201,1
926,2500505,1
208747,4400201,1
208799,4400201,1
208796,4400201,1
208748,4400201,1
208821,4400201,1
208360,4400102,1
208794,4400201,1
208795,4400201,1
208284,4400103,1
208759,4400201,1
208760,4400201,1
208800,4400201,1
208798,4400201,1
208797,4400201,1
1421,2500503,1
208792,4400201,1
208789,4400201,1
208793,4400201,1
208297,4400103,1
208127,4400103,1
208376,4400103,1
208150,4400104,1
208143,4400104,1
208129,4400104,1
208791,4400201,1
208745,4400201,1
208161,4400104,1
208160,4400104,1
208749,4400201,1
208762,4400201,1
208764,4400201,1
208788,4400201,1
208790,4400201,1
208773,4400201,1
208754,4400201,1
208372,4400102,1
208757,4400201,1
208763,4400201,1
208722,4400201,1
850,2502800,1
208751,4400201,1
208755,4400201,1
208750,4400201,1
208810,4400201,1
208753,4400201,1
208752,4400201,1
208373,4400102,1
208813,4400201,1
208814,4400201,1
208374,4400102,1
208811,4400201,1
208809,4400201,1
208807,4400201,1
5567,2501900,1
208808,4400201,1
208379,4400103,1
208805,4400201,1
208804,4400201,1
208817,4400201,1
208806,4400201,1
208349,4400103,1
208802,4400201,1
208730,4400201,1
208803,4400201,1
838,2502800,1
208819,4400201,1
208816,4400201,1
837,2502800,1
208801,4400201,1
208163,4400104,1
208787,4400201,1
208729,4400201,1
208772,4400201,1
208164,4400104,1
208770,4400201,1
208130,4400103,1
208766,4400201,1
208288,4400103,1
208126,4400103,1
208131,4400103,1
208078,4400103,1
208769,4400201,1
208381,4400103,1
208029,4400104,1
208074,4400103,1
208771,4400201,1
208774,4400201,1
208377,4400103,1
