OID_,id,GISMATCH,GEOID,STATEFIP,State_1,PUMA,Name,pumaArea,Shape_Length,Shape_Area,AreaMi
61,207942,2504302,2504302,25,Massachusetts,04302,Bristol County (Central)--Fall River City & Somerset Town PUMA,46.840855138700000,14530.994808366256621,27.226401144067879,0.000010512172252
62,207942,4400300,4400300,44,Rhode Island,00300,Southeast Rhode Island--Newport & Bristol Counties--Newport City PUMA,0.000000000000000,20911.711779670011310,19560054.201107565313578,7.552179149234614
63,4248,2504301,2504301,25,Massachusetts,04301,Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA,274.576214919999984,70709.493158558369032,18726861.372199743986130,7.230481599469483
64,2661,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,3937.415244503646136,1993.952014259620682,0.000769869176836
65,2661,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,13746.461068479709866,6775087.322301235981286,2.615875839793425
66,2681,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,11102.662482906367586,4526022.807009009644389,1.747507175625223
67,2679,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9360.382115871796486,3042905.490370532032102,1.174872378225139
68,4145,2504302,2504302,25,Massachusetts,04302,Bristol County (Central)--Fall River City & Somerset Town PUMA,46.840855138700000,1727.948790669789787,182946.067531665525166,0.070635871579992
69,2678,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,8645.234671965710731,1982971.322463830932975,0.765629508030379
70,1083,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,1103.349699025332939,99.427717765044932,0.000038389256453
71,1083,2503603,2503603,25,Massachusetts,03603,Norfolk County (Northeast)--Quincy City & Milton Town PUMA,30.095049085900001,5094.026586728652546,938219.706308973371051,0.362248653839949
72,1735,2504000,2504000,25,Massachusetts,04000,"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA",42.526032854199997,2142.089562860106525,205323.521402705489891,0.079275854823405
73,2705,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,11590.246092854544258,4737812.396160704083741,1.829279593164118
74,2650,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,9188.767249109952900,3568550.204099693801254,1.377824936848723
75,2652,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,13871.667769340672749,7900865.604808332398534,3.050541264766012
76,2657,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,12412.927253448195188,4468528.877798166126013,1.725308645450950
77,2658,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,11349.454844553940347,4707521.334985473193228,1.817584149058303
78,2658,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,3502.287249925373999,497.233545451437351,0.000191982945223
79,268,2503301,2503301,25,Massachusetts,03301,"Boston City--Allston, Brighton & Fenway PUMA",6.089964359800000,1615.013842721439914,77815.193929080181988,0.030044614347315
80,268,2503305,2503305,25,Massachusetts,03305,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA",17.687491425400001,31.168313790413904,45.430061802013206,0.000017540644927
81,2638,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,413.665087820322697,8.104313443769318,0.000003129092915
82,2638,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,10176.025712411586937,5336112.943974941037595,2.060284726162291
83,4149,2504302,2504302,25,Massachusetts,04302,Bristol County (Central)--Fall River City & Somerset Town PUMA,46.840855138700000,2111.923921561063253,191454.076803247211501,0.073920832325075
84,2642,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,12329.020672620010373,5139305.331430667079985,1.984296882131504
85,2663,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,17975.575601121432555,12391678.295502956956625,4.784453738477956
86,208396,4400103,4400103,44,Rhode Island,00103,Providence City PUMA,0.000000000000000,1785.931165885406472,195109.658672932477202,0.075332260375872
87,2662,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,12421.588383800479278,7709125.132544598542154,2.976509854535432
88,2664,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,12525.028948449427844,6233215.825794029049575,2.406658085312225
89,208398,4400103,4400103,44,Rhode Island,00103,Providence City PUMA,0.000000000000000,1726.532555095302087,172415.209170498710591,0.066569884434913
90,2676,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,6218.975703582219467,2020472.227952176239341,0.780108688588604
91,1822,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,4559.094442121615430,1285454.352245582966134,0.496316700174188
92,2651,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,13073.793753306305007,6799854.680654611438513,2.625438570316298
93,1897,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,12784.178221395166474,6862150.544717271812260,2.649491137902279
94,1898,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,11320.517677064728559,4033848.068543323315680,1.557477446698905
95,1909,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,19516.771807778557559,10594351.499357044696808,4.090501982789815
96,1909,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,293.699295668488503,141.384809726910049,0.000054588980228
97,1127,2503603,2503603,25,Massachusetts,03603,Norfolk County (Northeast)--Quincy City & Milton Town PUMA,30.095049085900001,4204.246614232717548,676459.954892913345248,0.261182648785563
98,2659,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,10848.150512775127936,3320176.697328172158450,1.281927389747041
99,2659,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,3790.313611077276619,231.634903759566072,0.000089434736347
100,2636,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,18128.148317007391597,85293.933075344248209,0.032932171675238
101,2636,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,20797.978020391834434,17147708.608514979481697,6.620767308663428
102,2639,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,19542.978066496656538,10570065.831647537648678,4.081125234064313
103,1896,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,2686.113343324591824,1916.760381981143155,0.000740065320988
104,1896,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,12096.713803147364160,6400291.983480771072209,2.471166550444423
105,1895,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,12176.056643078243724,6049365.087643316946924,2.335672918453404
106,1899,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,8519.614055377598561,1689442.602321235695854,0.652297435574419
107,1872,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,15917.492186338547981,12245418.726349527016282,4.727982603113003
108,1872,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,373.413838516067074,274.835373265180920,0.000106114530875
109,1911,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,1931.988624743888067,6684.305515799683235,0.002580824788342
110,1911,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,13684.156512122999629,4268244.200745115987957,1.647978299307759
111,1914,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,13310.742395215374927,5609372.995419615879655,2.165791021882188
112,1907,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,18843.114184774149180,15231257.601973602548242,5.880821438200966
113,1907,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,8482.764797897842072,2289.125217465702917,0.000883836187752
114,1915,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,2349.787754048517854,652.712263925184516,0.000252013614041
115,1915,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,23765.200081879600475,7422458.815336744301021,2.865827370665707
116,2637,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,51826.075863228317758,15276985.245312323793769,5.898476980001396
117,2644,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,12646.911337768751764,2990670.009122098796070,1.154704146159999
118,2645,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,11055.128513407034916,4044599.679302019067109,1.561628666821184
119,2667,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,16463.564067931478348,4030783.097245574463159,1.556294054664820
120,1893,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,8371.212281282598269,2432.422686140457699,0.000939163649728
121,1893,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,13800.201164978376255,7614950.518354564905167,2.940148832712041
122,1894,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,13900.647179739415151,6624870.292307804338634,2.557876720255602
123,1908,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,15576.427307111420305,8794925.581356571987271,3.395739751622478
124,1912,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,6739.160890206517251,3195.009529621341699,0.001233600076111
125,1912,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,7888.828284400960911,12962.916709988609000,0.005005010123382
126,1912,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,16668.624025362922112,10014703.721167527139187,3.866698724407475
127,1916,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,25497.178922383693134,6702408.308030477724969,2.587814315499108
128,2640,2504903,2504903,25,Massachusetts,04903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",193.929038990000009,9178.270076406312000,2317279.548594534397125,0.894706635774685
129,1883,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,10816.111320777028595,4446493.835632174275815,1.716800868105983
130,1883,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,2095.530355058385794,295.907721095326679,0.000114250609859
131,1866,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,1880.571297825560578,647.671834261870572,0.000250067493268
132,1866,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,7802.099014453900963,2705168.477792530320585,1.044471388632178
133,1890,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,7926.954114198408206,2591011.377453349065036,1.000395085772556
134,1890,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,1280.042157099282804,296.159760528200366,0.000114347922828
135,1892,2504901,2504901,25,Massachusetts,04901,Plymouth & Bristol Counties (Outside Brockton City) PUMA,118.112266769000001,7251.045824644269487,1531582.725513298995793,0.591347396383723
136,1892,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,3086.717060096257683,403.781378114328277,0.000155900861689
137,1892,2503900,2503900,25,Massachusetts,03900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",68.416600543200005,1546.086381604193775,52.816327973438518,0.000020392498239
138,1901,2504902,2504902,25,Massachusetts,04902,Plymouth County (Central) PUMA,256.676426449000019,4621.023433641070369,588968.066913732676767,0.227401841977465
